prefecture,prefecture_code,renewal_number,registration_number,company_name,representative_name,office_name,address,phone_number
北海道,01,16,000252,珊慶興産株式会社,山田 秀俊,本店,北海道札幌市北区新琴似十一条十丁目5番9号,011-555-0001
北海道,01,16,000293,株式会社北星コーポレーション,林 和則,本店,北海道札幌市中央区南四条西三丁目9番地,011-555-0002
北海道,01,16,000303,北旺開発有限会社,工藤 経一,本店,北海道札幌市中央区南二条西六丁目14番地,011-555-0003
北海道,01,16,000310,株式会社しんたく不動産,田辺 敏,本店,北海道札幌市厚別区大谷地東四丁目1番2号しんたくターミナルプラザ2階,011-555-0004
北海道,01,16,000323,藪商事株式会社,朝野 絵美,本店,北海道札幌市中央区大通西十八丁目1番地14,011-555-0005
北海道,01,16,000352,新宅新興建設株式会社,藤井 一男,本店,北海道札幌市北区北二十五条西十六丁目5番32号,011-555-0006
北海道,01,16,000434,札幌不動産商事株式会社,斎藤 豪,本店,北海道札幌市中央区南一条西十三丁目4番地,011-555-0007
北海道,01,16,000446,三愛地所株式会社,大畑 裕義,本店,北海道札幌市東区北三十二条東七丁目1番15号,011-555-0008
北海道,01,16,000470,Stardust Japan株式会社,田 一郎,本店,北海道札幌市中央区北四条西六丁目1番地3,011-555-0009
北海道,01,16,000488,株式会社エヌアイシーコーポレーション,白木 博章,本店,北海道札幌市中央区大通西九丁目1番地1,011-555-0010
青森県,02,15,001234,青森不動産株式会社,佐藤 太郎,本店,青森県青森市新町1-3-7,017-555-0011
青森県,02,17,000100,東北リアルエステート株式会社,鈴木 次郎,本店,青森県青森市中央1-1-1,017-555-0012
青森県,02,14,002345,八戸住宅販売株式会社,高橋 三郎,本店,青森県八戸市番町1-2-3,0178-555-0013
青森県,02,16,003456,弘前地所株式会社,田中 四郎,本店,青森県弘前市城東1-4-5,0172-555-0014
岩手県,03,15,001122,盛岡不動産株式会社,伊藤 健一,本店,岩手県盛岡市中央通1-2-3,019-555-0015
岩手県,03,14,002233,花巻リビング株式会社,渡辺 明,本店,岩手県花巻市桜町1-1-1,0198-555-0016
宮城県,04,16,005678,仙台ハウジング株式会社,加藤 正義,本店,宮城県仙台市青葉区一番町3-4-5,022-555-0017
宮城県,04,15,006789,東北住宅センター株式会社,山本 洋平,本店,宮城県仙台市宮城野区榴岡1-2-3,022-555-0018
秋田県,05,14,001234,秋田不動産開発株式会社,中村 誠,本店,秋田県秋田市中通1-1-1,018-555-0019
山形県,06,15,002345,山形ホームサービス株式会社,小林 勇,本店,山形県山形市七日町1-2-3,023-555-0020
福島県,07,16,003456,郡山不動産株式会社,松本 健,本店,福島県郡山市駅前1-1-1,024-555-0021
